Player,Draft_Year,Draft_Pick,VORP
Brian Grant,1994,8,10.4
Eric Montross,1994,9,-3
Eddie Jones,1994,10,45.1
Carlos Rogers,1994,11,0.2
Khalid Reeves,1994,12,0.6
Jalen Rose,1994,13,11.9
Yinka Dare,1994,14,-2
Eric Piatkowski,1994,15,5.5
Clifford Rozier,1994,16,-0.1
Aaron McKie,1994,17,12.9
Eric Mobley,1994,18,-0.8
Tony Dumas,1994,19,-1.6
B.J. Tyler,1994,20,-20
Dickey Simpkins,1994,21,-2.3
Bill Curley,1994,22,-0.6
Wesley Person,1994,23,13.8
Monty Williams,1994,24,0.5
Greg Minor,1994,25,-0.3
Charlie Ward,1994,26,13.3
Brooks Thompson,1994,27,0.1
Deon Thomas,1994,28,-20
Antonio Lang,1994,29,-0.3
Howard Eisley,1994,30,-1
Rodney Dent,1994,31,-20
Jim McIlvaine,1994,32,2.8
Derrick Alston,1994,33,-0.1
Gaylon Nickerson,1994,34,-20
Michael Smith,1994,35,8.7
Andrei Fetisov,1994,36,-20
Dontonio Wingfield,1994,37,0.2
Darrin Hancock,1994,38,-0.5
Anthony Miller,1994,39,-0.2
Jeff Webster,1994,40,-20
William Njoku,1994,41,-20
Gary Collier,1994,42,-20
Shawnelle Scott,1994,43,-20
Damon Bailey,1994,44,-20
Dwayne Morton,1994,45,-20
Voshon Lenard,1994,46,6.7
Jamie Watson,1994,47,0.3
Jevon Crudup,1994,48,-20
Kris Bruton,1994,49,-20
Charles Claxton,1994,50,-20
Lawrence Funderburke,1994,51,-0.2
Anthony Goldwire,1994,52,-1.6
Albert Burditt,1994,53,-20
Zeljko Rebraca,1994,54,-0.4
Joe Smith,1995,1,5.9
Antonio McDyess,1995,2,16.4
Jerry Stackhouse,1995,3,12.8
Rasheed Wallace,1995,4,37.5
Kevin Garnett,1995,5,94
Bryant Reeves,1995,6,-1.8
Damon Stoudamire,1995,7,15.4
Shawn Respert,1995,8,-0.9
Ed O'Bannon,1995,9,-1
Kurt Thomas,1995,10,13.2
Gary Trent,1995,11,1.7
Cherokee Parks,1995,12,-0.1
Corliss Williamson,1995,13,-1.9
Eric Williams,1995,14,-1.8
Brent Barry,1995,15,27.2
Alan Henderson,1995,16,1.1
Bob Sura,1995,17,9.2
Theo Ratliff,1995,18,15.1
Randolph Childress,1995,19,-20
Jason Caffey,1995,20,-1.6
Michael Finley,1995,21,29.2
George Zidek,1995,22,-1.9
Travis Best,1995,23,4
Loren Meyer,1995,24,-2.2
David Vaughn,1995,25,-1
Sherell Ford,1995,26,-20
Mario Bennett,1995,27,-20
Greg Ostertag,1995,28,10
Cory Alexander,1995,29,-0.2
Lou Roe,1995,30,-20
Dragan Tarlac,1995,31,-20
Terrence Rencher,1995,32,-20
Junior Burrough,1995,33,-20
Andrew DeClercq,1995,34,2.4
Jimmy King,1995,35,-20
Lawrence Moten,1995,36,-0.8
Frankie King,1995,37,-20
Rashard Griffith,1995,38,-20
Donny Marshall,1995,39,-20
Dwayne Whitfield,1995,40,-20
Erik Meek,1995,41,-20
Donnie Boyce,1995,42,-20
Eric Snow,1995,43,4.3
Anthony Pelle,1995,44,-20
Troy Brown,1995,45,-20
George Banks,1995,46,-20
Tyus Edney,1995,47,-0.9
Mark Davis,1995,48,0.3
Jerome Allen,1995,49,-0.7
Martin Lewis,1995,50,-20
Dejan Bodiroga,1995,51,-20
Fred Hoiberg,1995,52,6.9
Constantin Popa,1995,53,-20
Aurelijius Zukauskas,1995,54,-20
Michael McDonald,1995,55,-20
Chris Carr,1995,56,-2.4
Cuonzo Martin,1995,57,-20
Don Reid,1995,58,2.4
Allen Iverson,1996,1,44.1
Marcus Camby,1996,2,35.6
Shareef Abdur-Rahim,1996,3,21.1
Stephon Marbury,1996,4,25.6
Ray Allen,1996,5,58.1
Antoine Walker,1996,6,21.9
Lorenzen Wright,1996,7,0
Kerry Kittles,1996,8,16.9
Samaki Walker,1996,9,-1.8
Erick Dampier,1996,10,13.1
Todd Fuller,1996,11,-3.2
Vitaly Potapenko,1996,12,-4.4
Kobe Bryant,1996,13,72.1
Peja Stojakovic,1996,14,23.9
Steve Nash,1996,15,31.2
Tony Delk,1996,16,2.1
Jermaine O'Neal,1996,17,13.9
John Wallace,1996,18,-3.8
Walter McCarty,1996,19,1.7
Zydrunas Ilgauskas,1996,20,13
Dontae' Jones,1996,21,-20
Roy Rogers,1996,22,-0.7
Efthimi Rentzias,1996,23,-20
Derek Fisher,1996,24,9.3
Martin Muursepp,1996,25,-20
Jerome Williams,1996,26,9
Brian Evans,1996,27,-0.1
Priest Lauderdale,1996,28,-20
Travis Knight,1996,29,0.8
Othella Harrington,1996,30,-4
Mark Hendrickson,1996,31,-0.8
Ryan Minor,1996,32,-20
Moochie Norris,1996,33,-0.1
Shawn Harvey,1996,34,-20
Joseph Blair,1996,35,-20
Doron Sheffer,1996,36,-20
Jeff McInnis,1996,37,-2.5
Steve Hamer,1996,38,-20
Russ Millard,1996,39,-20
Marcus Mann,1996,40,-20
Jason Sasser,1996,41,-20
Randy Livingston,1996,42,-1.2
Ben Davis,1996,43,-20
Malik Rose,1996,44,1.9
Joe Vogel,1996,45,-20
Marcus Brown,1996,46,-20
Ron Riley,1996,47,-20
Jamie Feick,1996,48,0.4
Amal McCaskill,1996,49,-20
Terrell Bell,1996,50,-20
Chris Robinson,1996,51,-0.6
Mark Pope,1996,52,-0.5
Jeff Nordgaard,1996,53,-20
Shandon Anderson,1996,54,4.9
Ronnie Henderson,1996,55,-20
Reggie Geary,1996,56,-20
Drew Barry,1996,57,-20
Darnell Robinson,1996,58,-20
Tim Duncan,1997,1,89.3
Keith Van Horn,1997,2,8.4
Chauncey Billups,1997,3,37.6
Antonio Daniels,1997,4,4.1
Tony Battie,1997,5,1.9
Ron Mercer,1997,6,-4.3
Tim Thomas,1997,7,5.4
Adonal Foyle,1997,8,3.9
Tracy McGrady,1997,9,50.6
Danny Fortson,1997,10,-2.1
Tariq Abdul-Wahad,1997,11,-1.5
Austin Croshere,1997,12,4.3
Derek Anderson,1997,13,13.3
Maurice Taylor,1997,14,-5.9
Kelvin Cato,1997,15,4.6
Brevin Knight,1997,16,4.3
Johnny Taylor,1997,17,-20
Chris Anstey,1997,18,-0.4
Scot Pollard,1997,19,5.5
Paul Grant,1997,20,-20
Anthony Parker,1997,21,9.1
Ed Gray,1997,22,-20
Bobby Jackson,1997,23,7.8
Rodrick Rhodes,1997,24,-1.4
John Thomas,1997,25,-0.7
Charles Smith,1997,26,0.2
Jacque Vaughn,1997,27,-7.1
Keith Booth,1997,28,-20
Serge Zwikker,1997,29,-20
Mark Sanford,1997,30,-20
Charles O'Bannon,1997,31,-20
James Cotton,1997,32,-20
Marko Milic,1997,33,-20
Bubba Wells,1997,34,-20
Kebu Stewart,1997,35,-20
James Collins,1997,36,-20
Marc Jackson,1997,37,-3.1
Jerald Honeycutt,1997,38,-20
Anthony Johnson,1997,39,-0.4
Eddie Elisma,1997,40,-20
Jason Lawson,1997,41,-20
Stephen Jackson,1997,42,13.6
Gordon Malone,1997,43,-20
Cedric Henderson,1997,44,-0.7
God Shammgod,1997,45,-20
Eric Washington,1997,46,-1
Alvin Williams,1997,47,3.6
Predrag Drobnjak,1997,48,-3.1
Alain Digbeu,1997,49,-20
Chris Crawford,1997,50,-0.9
DeJuan Wheat,1997,51,-20
C.J. Bruton,1997,52,-20
Paul Rogers,1997,53,-20
Mark Blount,1997,54,-1.4
Ben Pepper,1997,55,-20
Nate Erdmann,1997,56,-20
Roberto Duenas,1997,57,-20
Michael Olowokandi,1998,1,-8.3
Mike Bibby,1998,2,21.2
Raef LaFrentz,1998,3,12.8
Antawn Jamison,1998,4,17.4
Vince Carter,1998,5,53.2
Robert Traylor,1998,6,3.6
Jason Williams,1998,7,7.8
Larry Hughes,1998,8,9.7
Dirk Nowitzki,1998,9,65.7
Paul Pierce,1998,10,61.7
Bonzi Wells,1998,11,9.3
Michael Doleac,1998,12,-3.8
Keon Clark,1998,13,3.8
Michael Dickerson,1998,14,1.6
Matt Harpring,1998,15,8.2
Bryce Drew,1998,16,-2.6
Rasho Nesterovic,1998,17,11
Mirsad Turkcan,1998,18,-20
Pat Garrity,1998,19,0.7
Roshown McLeod,1998,20,-1.6
Ricky Davis,1998,21,6.5
Brian Skinner,1998,22,-1
Tyronn Lue,1998,23,-2.5
Felipe Lopez,1998,24,-0.7
Al Harrington,1998,25,5.5
Sam Jacobson,1998,26,-20
Vladimir Stepania,1998,27,-1.8
Corey Benjamin,1998,28,-2
Nazr Mohammed,1998,29,-2
Ansu Sesay,1998,30,-0.4
Ruben Patterson,1998,31,11.8
Rashard Lewis,1998,32,34.1
Jelani McCoy,1998,33,-1.1
Shammond Williams,1998,34,-0.4
Bruno Sundov,1998,35,-20
Jerome James,1998,36,-1.3
Casey Shaw,1998,37,-20
DeMarco Johnson,1998,38,-20
Rafer Alston,1998,39,10.9
Korleone Young,1998,40,-20
Cuttino Mobley,1998,41,15.3
Miles Simon,1998,42,-20
Jahidi White,1998,43,-2.7
Sean Marks,1998,44,-1.7
Toby Bailey,1998,45,-20
Andrae Patterson,1998,46,-20
Tyson Wheeler,1998,47,-20
