Date,Mobile Operating System,Percent of Usage
12/1/09,Sony Ericsson,7.12
12/1/09,Linux,0
12/1/09,bada,0
12/1/09,Nokia Unknown,0
12/1/09,LG,0.27
12/1/09,Playstation,1.55
12/1/09,WinCE,1.17
12/1/09,Nintendo 3DS,0
12/1/09,Nintendo,0.35
12/1/09,webOS,0.41
12/1/09,WinXP,0
12/1/09,Brew,0
12/1/09,Motorola,0.01
12/1/09,Win7,0
12/1/09,MeeGo,0
12/1/09,Maemo 5,0
12/1/09,WinVista,0
12/1/09,Other,0.38
1/1/10,Android,4.54
1/1/10,iOS,33.13
1/1/10,SymbianOS,34.16
1/1/10,Series 40,0
1/1/10,BlackBerry OS,10.28
1/1/10,Samsung,1.69
1/1/10,Unknown,5.76
1/1/10,Windows Phone,0
1/1/10,Sony Ericsson,6.89
1/1/10,Linux,0
1/1/10,bada,0
1/1/10,Nokia Unknown,0
1/1/10,LG,0.25
1/1/10,Playstation,1.2
1/1/10,WinCE,0.99
1/1/10,Nintendo 3DS,0
1/1/10,Nintendo,0.38
1/1/10,webOS,0.42
1/1/10,WinXP,0
1/1/10,Brew,0
1/1/10,Motorola,0.01
1/1/10,Win7,0
1/1/10,MeeGo,0
1/1/10,Maemo 5,0
1/1/10,WinVista,0
1/1/10,Other,0.3
2/1/10,Android,5.35
2/1/10,iOS,33.92
2/1/10,SymbianOS,32.71
2/1/10,Series 40,0
2/1/10,BlackBerry OS,11.13
2/1/10,Samsung,1.69
2/1/10,Unknown,5.46
2/1/10,Windows Phone,0
2/1/10,Sony Ericsson,6.38
2/1/10,Linux,0
2/1/10,bada,0
2/1/10,Nokia Unknown,0
2/1/10,LG,0.24
2/1/10,Playstation,1.11
2/1/10,WinCE,0.85
2/1/10,Nintendo 3DS,0
2/1/10,Nintendo,0.42
2/1/10,webOS,0.42
2/1/10,WinXP,0
2/1/10,Brew,0
2/1/10,Motorola,0.01
2/1/10,Win7,0
2/1/10,MeeGo,0
2/1/10,Maemo 5,0
2/1/10,WinVista,0
2/1/10,Other,0.3
3/1/10,Android,5.9
3/1/10,iOS,30.13
3/1/10,SymbianOS,34.51
3/1/10,Series 40,0
3/1/10,BlackBerry OS,12.73
3/1/10,Samsung,1.69
3/1/10,Unknown,5.71
3/1/10,Windows Phone,0
3/1/10,Sony Ericsson,6.21
3/1/10,Linux,0
3/1/10,bada,0
3/1/10,Nokia Unknown,0
3/1/10,LG,0.22
3/1/10,Playstation,1.1
3/1/10,WinCE,0.73
3/1/10,Nintendo 3DS,0
3/1/10,Nintendo,0.35
3/1/10,webOS,0.4
3/1/10,WinXP,0.02
3/1/10,Brew,0
3/1/10,Motorola,0.01
3/1/10,Win7,0
3/1/10,MeeGo,0
3/1/10,Maemo 5,0
3/1/10,WinVista,0
3/1/10,Other,0.26
4/1/10,Android,5.58
4/1/10,iOS,29.38
4/1/10,SymbianOS,33.54
4/1/10,Series 40,0
4/1/10,BlackBerry OS,14.06
4/1/10,Samsung,2.02
4/1/10,Unknown,6.68
4/1/10,Windows Phone,0
4/1/10,Sony Ericsson,6.02
4/1/10,Linux,0
4/1/10,bada,0
4/1/10,Nokia Unknown,0
4/1/10,LG,0.17
4/1/10,Playstation,1.16
4/1/10,WinCE,0.5
4/1/10,Nintendo 3DS,0
4/1/10,Nintendo,0.26
4/1/10,webOS,0.44
4/1/10,WinXP,0.02
4/1/10,Brew,0
4/1/10,Motorola,0
4/1/10,Win7,0
4/1/10,MeeGo,0
4/1/10,Maemo 5,0
4/1/10,WinVista,0
4/1/10,Other,0.17
